# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,50.5083500545514,70.34617594194663,4.044545842130565,0.24724654857001824,0.0,0.0
 0.04294008734724131,0.004609627753471783,0.10735021836810328,2.5000000000000004,50.5083500545514,69.66814184999595,4.044545842130565,0.24724654857001824,0.0,0.0
 0.06020503597061559,0.009061615890557796,0.25786280829464236,8.717812789941723,49.45838672744813,68.99010775804528,4.46350134637984,0.22403936336012498,-60.81473799938055,-3522.4395580908968
 0.07309859221344857,0.013358510458970114,0.33325907046016057,5.847592452038051,48.33965023062366,68.3120736660946,4.935490553604806,0.20261410474580188,-86.76710100414155,-2012.81651981678
 0.08367317595452575,0.017503000935792573,0.39192942041993595,5.548242029789714,47.14608946941488,67.63403957414394,5.4678818948031855,0.18288617406868746,-112.87070871379689,-2468.5234283270506
 0.09273173739326321,0.021497937799932833,0.4410122833694726,5.418394883280456,45.87107655748262,66.95600548219326,6.068984468377045,0.16477221275002174,-140.75225084635255,-3077.9216237718283
 0.1006903221199603,0.025346352421553427,0.4835551487830587,5.345531507741059,44.50737102560106,66.27797139024258,6.748086437668956,0.1481901586822942,-171.35025619655653,-3844.6540937816385
 0.10779884883414824,0.029051479524918867,0.5212229273852714,5.298957170271507,43.04709258513921,65.59993729829192,7.515445346250564,0.1330593137103841,-205.4263139431239,-4793.687794484167
 0.11422220882750257,0.03261678247358402,0.5550526441541267,5.266669905447586,41.48170826070541,64.92190320634124,8.3821998397046,0.11930042460491391,-243.70178941447475,-5958.793452484527
 0.12007661153923482,0.03604598159686077,0.5857470509168445,5.242961284710753,39.802041918055096,64.24386911439056,9.360160021034154,0.10683578034486586,-286.90652579882425,-7379.870929918604
 0.12544813384381628,0.03934308571224012,0.6138118634576271,5.224740948547413,37.99831699053924,63.5658350224399,10.461418758130835,0.0955893290499225,-335.7939938139009,-9101.231502544388
 0.13051358947156502,0.04251242688423599,0.6256774128341208,2.342444638443553,36.06024654041047,62.88780093048922,11.697709859552,0.08548681853170002,-382.6053552837295,-9241.293362317589
 0.13549389636105152,0.045558698275642136,0.6116633892254448,-2.813887561479351,33.97718853032894,62.20976683853855,13.07942422443872,0.0764559649446582,-418.25896602454094,-7158.918422492518
 0.14048472465878045,0.04848699466814119,0.5867355512574075,-4.994729628222377,31.738387918741914,61.53173274658788,14.61418808092069,0.06842665459503244,-448.582976217754,-6075.947394746478
 0.14549759323043995,0.05130285482882234,0.5617263090839357,-4.989008152909246,29.33333011692734,60.8536986546372,16.304919143216015,0.06133118424055907,-479.7767520600262,-6222.739614325364
 0.1505471645200957,0.0540123043532479,0.536570209430646,-4.981828795015328,26.75223104180018,60.17566456268653,18.147323350770108,0.05510454520873259,-511.1521210552356,-6213.471836605856
 0.15565216322605674,0.05662189691133057,0.5111837844416072,-4.972856302469867,23.986685306617,59.49763047073586,20.12689767385702,0.049684756001860515,-541.7328964165821,-5990.359081900987
 0.1608264422995295,0.05913875097256024,0.48641637327467513,-4.7866399966535225,21.030483109611243,58.81959637878518,22.215682684554793,0.0450132464619347,-571.3263925329177,-5719.3467333553845
 0.16607097819167574,0.0615705781517403,0.46368777508449444,-4.333767307078031,17.880584880494734,58.14156228683451,24.36926636199061,0.04103529360078424,-600.6057149563077,-5582.824300475497
 0.17138048789160723,0.06392569842496193,0.4435664319912658,-3.7896800703628597,14.538208290394158,57.463528194883835,26.52484388941644,0.037700504635166034,-629.5075777229868,-5443.414627729582
 0.17674806527672585,0.06621303683394852,0.4261398103599111,-3.2466456244616513,11.009935245251603,56.78549410293316,28.601389549537835,0.03496333624868093,-657.3306339140156,-5183.540766113038
 0.1821651162772126,0.06844209622266532,0.41148945958169963,-2.7044882495835925,7.308693000941217,56.107460010982486,30.50302755896504,0.032783631004067115,-683.2577806592202,-4786.210567867052
 0.18762139185889715,0.070622901361072,0.39968749850669705,-2.1630067796830206,3.4544175307110425,55.429425919031814,32.12630220389602,0.031127142914030362,-706.3931087293473,-4240.131885527775
 0.19310514120098937,0.07276591175984826,0.39079291650457454,-1.6219891623873788,-0.5258098632540003,54.751391827081136,33.37113608031348,0.02996601606829702,-725.8222697039721,-3543.043228743184
 0.19860339427978982,0.07488190359082182,0.3848480236626741,-1.0812330310552773,-4.598327123743266,54.073357735130465,34.15396756712071,0.029279175194939243,-740.6929441264944,-2704.618032199898
 0.20410236387533082,0.07698182505916808,0.3818754462743418,-0.540569889810401,-8.724232968160853,53.39532364317979,34.42034215390348,0.029052587435903617,-750.3052658743923,-1748.0223487128037
 0.20958793567965328,0.07907663358769616,0.3818760565448146,0.00011125011112641533,-12.861429821743618,52.717289551229115,34.15374966723082,0.02927936199519143,-754.1960986314646,-709.2848103831857
 0.21504619748378492,0.08117712629574954,0.38482813456536713,0.5408458088833239,-16.967128762921135,52.03925545927844,33.37820643088483,0.029959668506175353,-752.1989762509553,365.8898111111979
 0.22046394992817347,0.08329377660431808,0.3906878969268646,1.0815854769382736,-21.000457696684034,51.36122136732777,32.15385120584451,0.031100473582406606,-744.465343362159,1427.4614737715451
 0.22582914491709088,0.08543658895086845,0.39939132705831865,1.6222020167826567,-24.924786181123803,50.683187275377094,30.566911506252648,0.03271511417813487,-731.4419126510862,2427.391872611259
